#puzzles:,1,10,100,1000,10000,100000
rust-v1,0:00.00,0:00.04,0:01.83,0:12.29,1:58.33,19:39.48
rust-v2,0:00.00,0:00.02,0:00.16,0:01.98,0:21.90,3:50.05
rust-v3p1,0:00.01,0:00.03,0:00.21,0:02.09,0:23.46,3:56.10
rust-v3pa,0:00.01,0:00.01,0:00.05,0:00.32,0:03.05,0:32.60

scala-v1,0:00.55,0:00.95,0:09.71,0:50.44,9:45.74,1:31:35
scala-v2,0:00.40,0:01.53,0:02.92,0:14.48,1:55.65,17:50.91
scala-v3p1,0:00.78,0:01.10,0:03.36,0:13.74,1:58.69,19:20.95
scala-v3pa,0:00.74,0:00.80,0:01.54,0:03.11,0:15.28,2:10.63

scalanative-v1,0:00.03,0:00.22,0:10.28,1:10.56,11:14.23,1:54:03
scalanative-v2,0:00.04,0:00.16,0:00.84,0:11.44,2:04.75,21:07.25
